dimension,threshold,threshold90
1,1.1,1.05
2,0.9,0.85
3,0.8,0.8
4,0.7,0.65
5,0.65,0.6
6,0.65,0.6
7,0.65,0.6
8,0.6,0.6
9,0.6,0.6
10,0.55,0.5
11,0.55,0.5
12,0.55,0.5
13,0.55,0.5
14,0.5,0.5
15,0.5,0.5
16,0.5,0.5
17,0.5,0.45
18,0.5,0.45
19,0.5,0.45
20,0.5,0.45
21,0.5,0.45
22,0.5,0.45
23,0.45,0.45
24,0.45,0.4
25,0.45,0.4
26,0.45,0.4
27,0.45,0.4
28,0.45,0.4
29,0.45,0.4
30,0.45,0.4
31,0.45,0.4
32,0.45,0.4
33,0.45,0.4
34,0.45,0.4
35,0.45,0.4
36,0.45,0.4
37,0.45,0.4
38,0.45,0.4
39,0.45,0.4
40,0.45,0.4
41,0.45,0.4
42,0.45,0.4
43,0.4,0.4
44,0.4,0.4
45,0.4,0.4
46,0.4,0.4
47,0.4,0.4
48,0.4,0.4
49,0.4,0.4
50,0.4,0.4
