dimension,threshold,threshold90
1,1.1,1.05
2,1.15,1.1
3,1.2,1.15
4,1.2,1.15
5,1.2,1.15
6,1.2,1.15
7,1.2,1.2
8,1.3,1.25
9,1.3,1.25
10,1.3,1.25
11,1.3,1.25
12,1.35,1.3
13,1.35,1.3
14,1.35,1.3
15,1.35,1.3
16,1.35,1.3
17,1.35,1.3
18,1.35,1.3
19,1.35,1.3
20,1.35,1.3
21,1.35,1.3
22,1.35,1.3
23,1.4,1.3
24,1.4,1.35
25,1.4,1.35
26,1.4,1.35
27,1.4,1.35
28,1.4,1.35
29,1.4,1.35
30,1.4,1.35
31,1.4,1.35
32,1.4,1.35
33,1.4,1.35
34,1.4,1.35
35,1.4,1.35
36,1.4,1.35
37,1.4,1.35
38,1.4,1.35
39,1.4,1.4
40,1.45,1.4
41,1.45,1.4
42,1.45,1.4
43,1.45,1.4
44,1.45,1.4
45,1.45,1.4
46,1.45,1.4
47,1.45,1.4
48,1.45,1.4
49,1.45,1.4
50,1.45,1.4
